2019-09-22 21:47:26,978 ActorAddr-(T|:36095)/PID:30397 esrally.driver.driver INFO Scheduling next task for client id [0] at their timestamp [625383.841927] (master timestamp [625383.842523])
2019-09-22 21:47:26,978 ActorAddr-(T|:36095)/PID:30397 esrally.driver.driver INFO Scheduling next task for client id [1] at their timestamp [625383.842067] (master timestamp [625383.842523])
2019-09-22 21:47:26,905 ActorAddr-(T|:44803)/PID:30400 esrally.client INFO HTTP compression: off
2019-09-22 21:47:26,981 ActorAddr-(T|:42599)/PID:30399 esrally.actor INFO LoadGenerator[0] is continuing its work at task index [1] on [625383.841927], that is in [0:00:00.996810].
2019-09-22 21:47:26,906 ActorAddr-(T|:44803)/PID:30400 esrally.utils.modules INFO Loading component [field_update] from [/home/ubuntu/elastic-dv-inplace-update-benchmark/field_update]
2019-09-22 21:47:26,975 ActorAddr-(T|:44803)/PID:30400 esrally.actor INFO LoadGenerator[1] reached join point [JoinPoint(0)].
2019-09-22 21:47:26,982 ActorAddr-(T|:44803)/PID:30400 esrally.actor INFO LoadGenerator[1] is continuing its work at task index [1] on [625383.842067], that is in [0:00:00.996070].
2019-09-22 21:47:27,982 ActorAddr-(T|:32839)/PID:30011 esrally.actor INFO Resetting relative time of system metrics store on host [127.0.0.1].
2019-09-22 21:47:27,980 ActorAddr-(T|:33513)/PID:29948 esrally.actor INFO Resetting relative time of cluster system metrics store.
2019-09-22 21:47:27,979 ActorAddr-(T|:42599)/PID:30399 esrally.actor INFO LoadGenerator[0] starts driving now.
2019-09-22 21:47:27,979 ActorAddr-(T|:44803)/PID:30400 esrally.actor INFO LoadGenerator[1] starts driving now.
2019-09-22 21:47:27,983 ActorAddr-(T|:36095)/PID:30397 esrally.driver.driver INFO [1/2] drivers reached join point [1/10].
2019-09-22 21:47:27,980 ActorAddr-(T|:44803)/PID:30400 esrally.actor INFO LoadGenerator[1] reached join point [JoinPoint(1)].
2019-09-22 21:47:27,984 ActorAddr-(T|:42599)/PID:30399 esrally.actor INFO LoadGenerator[0] is executing [delete-index].
2019-09-22 21:47:27,985 ActorAddr-(T|:42599)/PID:30399 esrally.driver.driver INFO Choosing [deterministic scheduler] for [delete-index].
2019-09-22 21:47:27,986 ActorAddr-(T|:42599)/PID:30399 esrally.driver.driver INFO Creating iteration-count based schedule with [deterministic] distribution for [delete-index] with [0] warmup iterations and [1] iterations.
2019-09-22 21:47:28,9 ActorAddr-(T|:42599)/PID:30399 esrally.driver.driver INFO Iteration-count-based schedule stopped after [0] warmup iterations and [1] iterations.
2019-09-22 21:47:32,995 ActorAddr-(T|:42599)/PID:30399 esrally.actor INFO LoadGenerator[0] is ready for the next task.
2019-09-22 21:47:32,996 ActorAddr-(T|:42599)/PID:30399 esrally.actor INFO LoadGenerator[0] reached join point [JoinPoint(1)].
2019-09-22 21:47:32,999 ActorAddr-(T|:36095)/PID:30397 esrally.driver.driver INFO [2/2] drivers reached join point [1/10].
2019-09-22 21:47:33,3 ActorAddr-(T|:39015)/PID:29947 esrally.actor INFO Task has finished.
2019-09-22 21:47:33,4 ActorAddr-(T|:39015)/PID:29947 esrally.actor INFO Bulk adding request metrics to metrics store.
2019-09-22 21:47:33,0 ActorAddr-(T|:36095)/PID:30397 esrally.driver.driver INFO All drivers completed their tasks until join point [1/10].
2019-09-22 21:47:33,7 ActorAddr-(T|:44803)/PID:30400 esrally.actor INFO LoadGenerator[1] is continuing its work at task index [3] on [625389.864602], that is in [0:00:00.992864].
2019-09-22 21:47:33,8 ActorAddr-(T|:42599)/PID:30399 esrally.actor INFO LoadGenerator[0] is continuing its work at task index [3] on [625389.864053], that is in [0:00:00.991229].
2019-09-22 21:47:33,3 ActorAddr-(T|:36095)/PID:30397 esrally.driver.driver INFO Scheduling next task for client id [0] at their timestamp [625389.864053] (master timestamp [625389.867024])
2019-09-22 21:47:33,3 ActorAddr-(T|:36095)/PID:30397 esrally.driver.driver INFO Scheduling next task for client id [1] at their timestamp [625389.864602] (master timestamp [625389.867024])
2019-09-22 21:47:34,2 ActorAddr-(T|:44803)/PID:30400 esrally.actor INFO LoadGenerator[1] starts driving now.
2019-09-22 21:47:34,4 ActorAddr-(T|:42599)/PID:30399 esrally.actor INFO LoadGenerator[0] starts driving now.
2019-09-22 21:47:34,3 ActorAddr-(T|:44803)/PID:30400 esrally.actor INFO LoadGenerator[1] reached join point [JoinPoint(2)].
2019-09-22 21:47:34,12 ActorAddr-(T|:32839)/PID:30011 esrally.actor INFO Resetting relative time of system metrics store on host [127.0.0.1].
2019-09-22 21:47:34,8 ActorAddr-(T|:33513)/PID:29948 esrally.actor INFO Resetting relative time of cluster system metrics store.
2019-09-22 21:47:34,12 ActorAddr-(T|:36095)/PID:30397 esrally.driver.driver INFO [1/2] drivers reached join point [2/10].
2019-09-22 21:47:34,5 ActorAddr-(T|:42599)/PID:30399 esrally.actor INFO LoadGenerator[0] is executing [create-index].
2019-09-22 21:47:34,5 ActorAddr-(T|:42599)/PID:30399 esrally.driver.driver INFO Choosing [deterministic scheduler] for [create-index].
2019-09-22 21:47:34,6 ActorAddr-(T|:42599)/PID:30399 esrally.driver.driver INFO Creating iteration-count based schedule with [deterministic] distribution for [create-index] with [0] warmup iterations and [1] iterations.
2019-09-22 21:47:34,561 ActorAddr-(T|:42599)/PID:30399 esrally.driver.driver INFO Iteration-count-based schedule stopped after [0] warmup iterations and [1] iterations.
